id,n_victimas,fecha,aaaa,mm,dd,hora,hh,lugar_del_hecho,tipo_de_calle,calle,altura,cruce,dirección normalizada,comuna,xy (caba),pos x,pos y,participantes,victima,acusado
2016-0001,1,2016-01-01,2016,1,1,04:00:00,4,av piedra buena y av fernandez de la cruz,avenida,piedra buena av.,sd,"fernandez de la cruz, f., gral. av.","piedra buena av. y fernandez de la cruz, f., gral. av.",8,point (98896.78238426 93532.43437792),-58.47533969,-34.68757022,moto-auto,moto,auto
2016-0002,1,2016-01-02,2016,1,2,01:15:00,1,av gral paz  y av de los corrales,gral paz,"paz, gral. av.",sd,de los corrales av.,"paz, gral. av. y de los corrales av.",9,point (95832.05571093 95505.41641999),-58.50877521,-34.66977709,auto-pasajeros,auto,pasajeros
2016-0003,1,2016-01-03,2016,1,3,07:00:00,7,av entre rios 2034,avenida,entre rios av.,2034.0,sd,entre rios av. 2034,1,point (106684.29090040 99706.57687843),-58.39040293,-34.63189362,moto-auto,moto,auto
2016-0004,1,2016-01-10,2016,1,10,00:00:00,0,av larrazabal y gral villegas conrado,avenida,larrazabal av.,sd,"villegas, conrado, gral.","larrazabal av. y villegas, conrado, gral.",8,point (99840.65224780 94269.16534422),-58.46503904,-34.68092974,moto-sd,moto,sd
2016-0005,1,2016-01-21,2016,1,21,05:20:00,5,av san juan y presidente luis saenz peña ,avenida,san juan av.,sd,"saenz pe?a, luis, pres.","san juan av. y saenz peã‘a, luis, pres.",1,point (106980.32827929 100752.16915795),-58.38718297,-34.62246630,moto-pasajeros,moto,pasajeros
2016-0008,1,2016-01-24,2016,1,24,18:30:00,18,av 27 de febrero y av escalada,avenida,27 de febrero av.,sd,escalada av.,27 de febrero av. y escalada av.,8,point (101721.59002217 93844.25656649),-58.44451316,-34.68475866,moto-objeto fijo,moto,objeto fijo
2016-0009,1,2016-01-24,2016,1,24,19:10:00,19,nogoya y joaquin v. gonzales,calle,nogoya,sd,"gonzalez, joaquin v.","nogoya y gonzalez, joaquin v.",11,point (96545.87592078 102330.67262199),-58.50095869,-34.60825440,moto-auto,moto,auto
2016-0010,1,2016-01-29,2016,1,29,15:20:00,15,av general paz y av de los corrales,gral paz,"paz, gral. av.",sd,de los corrales av.,"paz, gral. av. y de los corrales av.",9,point (95832.05571093 95505.41641999),-58.50877521,-34.66977709,moto-auto,moto,auto
2016-0012,1,2016-02-08,2016,2,8,01:20:00,1,av belgrano y bernardo de irigoyen,avenida,belgrano av.,sd,"irigoyen, bernardo de","belgrano av. e irigoyen, bernardo de",1,point (107595.35084333 101797.50052813),-58.38048577,-34.61303893,moto-cargas,moto,cargas
2016-0013,1,2016-02-10,2016,2,10,11:30:00,11,av entre rios 1366,avenida,entre rios av.,1366.0,sd,entre rios av. 1366,1,point (106616.41069662 100496.44662323),-58.39114932,-34.62477387,peaton-auto,peaton,auto
